venue_id,venue_name,city,address,website_url,menu_url,menu_source_type,tier,discovery_source,menu_status,last_checked_at
70eb6573c6b61992,Society,Berlin,"Stendaler Straße 25, 12627 Berlin",,,,1,overpass_osm,,
ba60822925cb18d4,Sohnemann,Berlin,"Niederbarnimstraße 23, 10247 Berlin",https://sohnemann-bar.de/,,,1,overpass_osm,,
188b36c28d89d449,Sophieneck,Berlin,"Große Hamburger Straße 37, 10115 Berlin",https://www.sophieneck-berlin.de,,,1,overpass_osm,,
cca8d40a0c73ba8f,Soulcat,Berlin,"Pannierstraße 53, 12047 Berlin",http://soulcat-berlin.com/,,,1,overpass_osm,,
2b63eca69d0b0852,Souterrain 29,Berlin,"Waldowstraße 29, 13156 Berlin",https://souterrain-29.de/,,,1,overpass_osm,,
87f021615067c75d,Spandauer Altstadttreff,Berlin,"Breite Straße 12, 13597 Berlin",,,,1,overpass_osm,,
3b6617d385762f07,Spandauer Bock,Berlin,,,,,1,overpass_osm,,
80d0bcc82039ccb2,Speiche's Rock- und Blueskneipe,Berlin,"Raumerstraße 39, 10437 Berlin",,,,1,overpass_osm,,
cbb64dd061770758,Sportler-Eck,Berlin,"Ernststraße 68, 13509 Berlin",,,,1,overpass_osm,,
89ff47bffcde1e2c,Sportsbar Heinrich's,Berlin,"Bismarckstraße 67, 12157 Berlin",http://www.sportsbar-heinrichs.de/,,,1,overpass_osm,,
b920e113aeb09e2f,Stadtklause,Berlin,"Stresemannstraße 37, 10963 Berlin",https://stadtklause.wordpress.com/,,,1,overpass_osm,,
d844d80b607fd5e4,Stadtlaterne,Berlin,"Tauroggener Straße 46, 10589 Berlin",http://radlstation-berlin.de/,,,1,overpass_osm,,
ca097d77a4d8d561,Stadtteilladen Zielona Góra,Berlin,"Grünberger Straße 73, 10245 Berlin",,,,1,overpass_osm,,
bd048813e7db1c3e,Station Ringbahn,Berlin,"Ringbahnstraße 4, 10711 Berlin",,,,1,overpass_osm,,
aaae8ecf25a59dfe,Studentenclub Schlauch,Berlin,"Storkower Straße 225, 10367 Berlin",,,,1,overpass_osm,,
db5adfae1c1ca284,Style,Berlin,"Straße der Pariser Kommune 11, 10243 Berlin",,,,1,overpass_osm,,
ed36f07e6ab4a45c,Supamolly,Berlin,"Jessnerstraße 41, 10247 Berlin",http://www.supamolly.de,,,1,overpass_osm,,
3bb78d953de763c0,Sux,Berlin,"Weserstraße 55, 12045 Berlin",,,,1,overpass_osm,,
4d415ae8c4ff86a2,Syndikat,Berlin,"Emser Straße 131, 12051 Berlin",https://syndikatbleibt.noblogs.org/,,,1,overpass_osm,,
0dd6d3e02cc575ee,Süß war gestern,Berlin,"Wühlischstraße 43, 10245 Berlin",,,,1,overpass_osm,,
073e8198a61cfb71,Take Off,Berlin,"Konrad-Wolf-Straße 103, 13055 Berlin",,,,1,overpass_osm,,
e1a6483a84452010,Tante Grete,Berlin,Stargarder Straße 10,,,,1,overpass_osm,,
2613eb30fc9abd20,Tante Lisbeth,Berlin,"Muskauer Straße 49, 10997 Berlin",https://www.pyonen.de/tantelisbeth/,,,1,overpass_osm,,
9ffdc880f7728101,The Double Inn,Berlin,"Wilhelminenhofstraße 89, 12459 Berlin",http://www.drink-irish.de,,,1,overpass_osm,,
48318bd804179eb1,The Lir,Berlin,"Flensburger Straße 7, 10557 Berlin",https://www.thelir.de/,,,1,overpass_osm,,
36dd5184405e57e5,The Nautilus Lounge,Berlin,"Karl-Marx-Straße 258, 12057 Berlin",,,,1,overpass_osm,,
453aa63219e296ab,Tiger Karaoke,Berlin,Müllerstraße 6,,,,1,overpass_osm,,
1d8509b68d8dc073,Tipperary Berlin,Berlin,"Triftstraße 58, 13353 Berlin",,,,1,overpass_osm,,
46948de8c6d8ded0,Tipsy Bear,Berlin,"Eberswalder Straße 21, 10437 Berlin",https://www.tipsybearberlin.com/,,,1,overpass_osm,,
f98c493ad5a1e092,Tonart,Berlin,"Sonntagstraße 7, 10245 Berlin",,,,1,overpass_osm,,
187d6840ad4e3b71,Treffer Bar,Berlin,"Weitlingstraße 76, 10317 Berlin",,,,1,overpass_osm,,
ca24dc14c2cebac7,Trespassers,Berlin,"Fehrbelliner Straße 94, 10119 Berlin",,,,1,overpass_osm,,
4a66107db61c1513,Trinkteufel,Berlin,"Adalbertstraße 18, 10997 Berlin",,,,1,overpass_osm,,
4f946d48364eae9f,Trixie Bar,Berlin,"Stargarder Straße 13, 10437 Berlin",,,,1,overpass_osm,,
5f77820a1efcd66d,"Trude, Ruth und Goldammer",Berlin,"Flughafenstraße 38, 12053 Berlin",https://www.ruthgoldammer.de/,,,1,overpass_osm,,
c709eeaef90a2f86,Trödler,Berlin,"Dresdener Straße 123, 10999 Berlin",,,,1,overpass_osm,,
6b08efca61d1fea6,U-Bahn-Quelle,Berlin,,,,,1,overpass_osm,,
da5ffdd048bd0f80,Uluru Resort,Berlin,"Rykestraße 17, 10405 Berlin",http://www.uluru-resort.de/,,,1,overpass_osm,,
68c9b58a7c5c2678,Valla Vino,Berlin,"Lychener Straße 3, 10437 Berlin",,,,1,overpass_osm,,
